,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
1584,Cdk18,Otud7a,Drp2,Hspg2,Clec14a,Rab37,Egr1,Synpo2,Pde2a,Spp1,Grap,Rab36,Sell,Nfkbia,Tnfaip6,Syk,Hspa12a,Inpp5d,Ece2,Tmod1,Akna,Olig2,Slc4a10,Slc22a23,Abcc8,Mafa,Frmd4a,Prodh,Adamts20,Sipa1
1585,Frmd4a,Kcnab1,Cyth4,Tpm2,Fbln2,Gimap3,Ppp1r18,Ebf2,Gimap4,Unc119,Ikzf3,Prkar1b,Grin2c,Repin1,Tnr,Rasgrp3,Cables1,Sh3rf3,Sept1,Rims2,Atp2a1,Pip5kl1,Slc22a23,Serping1,Entpd3,Pgbd5,Sh3rf3,Slco1c1,Slc24a4,Grin2a
1586,Itgb2,Rcsd1,Hif3a,Abca7,Apoc4,Grk6,Rubcnl,Lama5,Foxj1,H2-Ob,Tmem132a,Serping1,Ncmap,Igf2,Herc6,Ttll3,Mtcl1,Ptprb,Adamts20,Ccdc39,Vwc2,Syngap1,Cd79b,Shisa5,Nrgn,Mfap3l,Hsf4,Ccdc39,Tacc2,Ecel1
1587,Asap3,Myo1c,Tfrc,Slc22a23,Adgb,Gucy1a1,Serinc5,Tnnc2,Epha10,Cables1,Cdkn1a,Sgsm1,Limd2,H2-M3,Tril,Map3k1,Sh2b3,Vstm2l,Ltb,Cables1,Ralgps2,Slfn2,Rasa4,Serpinh1,Notch3,Atp2b4,Nrip2,Vwc2,Dgka,Slc24a4
1588,Xkr6,Nrip2,Pld4,Ermn,Hist1h1b,Ccdc141,Cxcl16,Birc3,Grk6,Cd82,Ppfia4,Cfap100,Rims2,Hcn1,Hspb6,Fry,Mylk,Stk17b,Slc6a7,Tcea2,Myh11,Cdh18,Rreb1,Hoxd3,Pde2a,Rhbdl1,Ttll3,Sox11,Rasal1,Fxyd6
1589,Mtus2,H2-Ob,Tap2,Nr2f2,Tnfrsf18,Col11a2,Hs3st1,Mylpf,Tagln,Plekha7,Kcnk9,Myt1,Prr16,Hoxd4,Rtn1,Syngap1,Plch2,Fn1,Ifi30,Cd19,Dkk3,Fcer2a,Aif1,Mical2,Car4,Dlk1,Cebpa,Grm4,Ift74,Tnni1
1590,Shisa7,Apobec3,Vat1l,Il34,Clec4a3,Tinagl1,March11,Slc16a11,Dgka,B4galnt1,Apbb1ip,Tbc1d10c,Dkk3,L3mbtl1,Unc13d,Hs6st2,Sirt6,Lcp1,Gimap3,Tbc1d10c,Tnnc2,Tcea2,Rasgrp3,Tenm2,Mfap3l,Adcyap1,Cfh,Dlk1,Pdlim4,Shisa7
1591,Gpr37,Bst2,Astn2,Fam43a,Il12rb1,Tlr2,Cck,Arhgap19,Sh3rf3,Oasl2,Grin2d,Fry,Camsap3,Rasa4,Lpl,Mpzl1,Nyap2,Hsf4,Zfp36,Shisa7,Adam11,Shank2,Sez6,Gpr37,Ccdc141,Ptprb,Zfp536,Arhgap29,Osbpl6,Slco1c1
1592,Adgrb2,Mtcl1,Rab36,Ica1,Nkx2-2,Acvrl1,Wdfy4,Rreb1,Nap1l2,Mcam,Cnn2,Nrip2,Gad1,Hoxd3,Lgals3,Foxp1,Mtus2,Dnal1,Rasal1,Opcml,Slamf6,Myrf,Gimap8,Rims2,Sdsl,Camsap3,Tap1,Camsap3,Tagln2,Osbpl6
1593,Nrgn,H2-Q7,Esam,Adgrl2,Aox3,Hspa2,Ripor2,Ezr,Cd79b,Grb10,Plcg2,Nnat,Il9r,Cacnb3,Nr2f2,Pmp22,Tfrc,Actl6b,Shroom3,Flt1,Lrmp,Dgka,Clmn,Cxcl12,Cdh18,Cpne6,Sned1,Gad1,Unc119,Syngap1
1594,Eng,Ecel1,Gria3,Snca,Mcam,Myof,Chst3,Tmem145,Hcls1,Ecel1,Bex2,Tmem88b,Unc93b1,Slc17a6,Irgm1,Ets1,Adgrl2,Trbc2,Endog,Fcer2a,Itgal,Dtnb,Rab36,Hs3st1,Ltbp3,Fry,Irf8,Gadd45g,Kcnab1,Sez6
1595,Pld4,A2m,H2-Q6,Sema7a,Cemip,Serpinf1,Sema6c,Plekhg2,Npr2,Rgs4,Rreb1,Rnf112,Pax5,Cfh,Lck,Kcnd2,Col4a2,Igfbp2,Mest,Grb10,Rbpms,Rasal1,Sema6c,Slc7a5,Acta1,Cfap69,Epha10,Adgrb2,H2-M3,Rgs4
1596,Igkc,Tap2,Myt1,Grin2a,Slamf1,Slc6a20a,Ube2ql1,Tmem125,Cd24a,Cabp7,Atp2b4,Ltbp3,Tnni2,Myo1c,Serpina3g,Zfp512b,Cbln1,Gria3,Tagln2,Them6,Samhd1,Dlk1,Ubxn11,Zic2,Rapgef3,Elavl2,Il21r,L3mbtl1,Il34,Slc32a1
1597,Cd52,Mest,Rims2,Ecel1,Gas2l3,Spi1,Npy,Cxcl12,Ube2ql1,Pde2a,Prelp,Eng,Pgbd5,Shisa7,Ccdc88b,Sema6a,Cacna1h,Prune2,Abca7,Cbln1,Sema6c,Prima1,Nr2f2,Col18a1,Zfp398,Pip5kl1,Ptk2b,Elavl4,Rcsd1,Fry
1598,Cables1,Mtus2,Gpr17,Mest,Calca,Unc119,Hoxd4,Grm5,Kcnk9,Akna,Vwa5b2,Cacna1b,Mafb,Hspg2,Arhgdib,Tap1,Mcam,Mylk,Rnf122,Nrgn,Gabrg2,Camsap3,Samhd1,Ebf1,Tprn,Tacc2,Carns1,Tenm2,Pde2a,Adgrb2
1599,Nkain1,Npr2,Nnat,Ahnak2,Rbpms,Slc22a23,Itga4,Prr16,Tagln2,Fxyd6,Egfl7,A2m,Slc6a7,Otud7a,Grap,Sall3,Pik3r3,Cavin1,Map6,Vwc2,Tpbg,Gad1,Col11a2,Ltbp3,Tac1,Cntnap5a,Ptprc,Rpgr,Akna,Kcnj3
1600,Cacna1h,Shisa7,Tnfaip6,Rnf122,Cd3d,Fli1,Ncmap,Gdpd2,Prkd2,Shisa7,Col16a1,Lfng,H2-Eb1,Il34,Gadd45g,H2-Ob,Rims2,Atp8a2,Cadm1,Gria3,Col5a1,Mcam,Bach2,Abcb1a,Gjb1,Tmem181a,Lamp5,Hspa12a,Als2cl,Hoxd3
1601,Egfl7,Apcdd1,Inpp5j,Shisa7,Rasgrp4,Ptp4a3,Fyb,Tac1,Trbc2,Ets1,Lrrk1,Plin4,Rasal3,Astn2,Emid1,Ccdc141,Cdk18,Sod3,Srgn,Cd24a,Ptk2b,Nyap2,Ica1,Nrgn,Cables1,Prodh,Zfp398,Zfp398,Fry,Rfx3
1602,Kcnj3,Oasl2,Atp8a2,Zfp536,Kmo,Atp13a4,Pou2af1,Atp2a1,Tmem25,Crtac1,Zc3hav1,Aebp1,Itgb2,Arhgap30,Lsp1,Lyz2,Meis2,Bgn,Sept5,Ly6e,Itpr3,Isyna1,Ctsz,Hcn1,Prima1,Sox17,Prodh,Pmp22,Bst2,Hif3a
1603,Ccdc88c,Grb10,Cacna1h,Aldh1l2,Hba-a2,Kcnn4,Cnn2,Ptprcap,Cacnb3,Adgrl2,Traf3ip3,Hsf4,Tcea2,H2-Ob,Elavl4,Adgrl2,Xkr6,Unc5a,Spock3,Calb1,Ptprcap,L3mbtl1,Fcer2a,Ly6a,Igsf11,Grm4,Ltbp3,Cables1,Mast1,Prx
1604,Rabl2,Fam214a,Sirt6,Foxj1,Olig1,Zc3hav1,Atp13a2,Sema6c,Lamp5,Elavl4,Rabl2,Sorbs3,Prima1,Ptprc,Atp2a1,Nrip2,Shank2,Sema4f,Cacnb3,Pde2a,Cables1,Calb1,H2-K1,Acly,Rgs11,Plch2,Irgm1,Gpr37,Sod3,Cacnb1
1605,Grin2a,Junb,Sorbs3,Camk2a,Limd2,Lsp1,Rab36,Myo1c,Ccdc88b,Meis2,Ogn,Repin1,Ckm,Sez6l,Chn2,Shisa7,Unc5a,Pld4,Kcnn4,Serinc5,Syt6,Mtus2,Ina,Foxj1,Meis2,Slc17a6,Gpnmb,Rfx3,Pld4,Unc93b1
1606,Ecel1,Syt1,Zfp36,Fam214a,Iglc2,Map3k9,Hs6st2,Shisa7,Fn1,Vtn,Tacc2,Add2,Acap1,Pde2a,Prph,Cpne6,Khdrbs2,Rabl2,Tle2,Rgs11,Mest,Cbln1,Ermn,Ttyh2,Pgbd5,Fxyd6,Flna,Ica1,Zfp512b,Atp2b4
1607,Id1,Ahnak,Hoxd4,Vstm2l,Slc12a7,Ezr,Grk6,Igsf11,Fcer2a,Ctsz,H2-Oa,Olig2,Pitpnm1,Unc5a,Rab37,Ccdc39,Cacna1e,Adamts20,Gucy1a1,Tenm2,Vars,Prdm11,Caly,Cck,Calb1,Cbln1,Apcdd1,Hif3a,Cfap100,Adgrl2
1608,Slc32a1,Ptprc,Pclo,Ptp4a3,Coro1a,Isg15,Kcnt1,Slamf6,Pnmal2,Actl6b,Adap2,Inpp5j,Atp8b2,Mgp,Sh2b3,Tmod1,Nkain1,Tbc1d10c,Asap3,Tnr,Il4i1,Acvrl1,Arfgef3,Osbpl6,Adcyap1,Cck,Dock6,Apcdd1,Myt1,Cstb
1609,Adgrl2,Ltbp4,Sema4c,Syk,Sptbn5,Rnd3,Gimap3,Col9a2,Apobec3,Isyna1,Ikzf1,Cebpd,Adcyap1,Ntsr2,Cebpa,Trac,Sox9,Cfap100,Hoxd4,Cpne6,Sdsl,Elavl4,Xaf1,Rabl2,Gpr37,Gad1,Glra1,Car4,Slc6a5,Syt3
1610,Tbc1d10c,Cacna1h,Mical2,L3mbtl1,Ccl5,Crispld2,Mcam,Tlr2,Scg2,Prkcd,Tgfb1,Rasa4,Csf3r,Rasal1,Crip1,Actl6b,Adamts20,Map3k1,Samhd1,Cd37,Rgs5,Rgs11,Tmem191c,Dock6,Col9a2,L3mbtl1,Ece2,Mest,Inpp5j,Gdpd2
1611,Prune2,Gdpd2,Xkr6,Sez6,Ccl8,Chst3,Ptprcap,Srpk3,Tle2,Ccdc39,Kcnq2,Il34,Adgrl2,Adgrl2,H2-Oa,Plekhh1,Celf3,Cacna1e,Arhgdib,Acta1,Zic1,Notch3,H2-Q7,Ccdc39,Vwc2,Opcml,Zic2,Hs3st1,Adap2,Carns1
1612,Plppr3,Kcnj3,Slc22a23,Kcnd2,Sp100,Pstpip2,Mylpf,Col9a3,Acta1,Slc32a1,Cabp1,Gap43,H2-Ab1,Sirt6,Apbb1ip,Ltbp3,Zfp398,Junb,Col5a1,Ccdc88c,Pecam1,Tenm2,Tap2,Sorbs3,Elavl2,Elavl4,Aebp1,Slc17a6,Sh3rf3,Npr2
1613,Sez6,Irgm1,Nrip2,Plppr3,Tgm1,Lat2,Tagln,Pax5,Myo1c,Inpp5j,Neurl3,Id1,Cstb,Ebf4,Rgs4,Cd82,Foxj1,Pdlim4,Sorbs3,Ccdc74a,Egr1,Pik3r3,Vegfa,Dkk3,Pip5kl1,Prima1,Gpr17,Dtnb,Ctsh,Actl6b
1614,Crtac1,Actl6b,A2m,Unc119,Spp1,Stmn3,Slfn2,H2-M3,Ttll3,Foxj1,Ckmt1,Penk,Hoxd4,Ripor2,Itgam,Prima1,Otud7a,Myt1,Rcsd1,Camsap3,Dlk1,Kcnd3,Hoxd3,Grin2a,Rab3b,Tenm2,Samhd1,Drp2,Hsf4,Zfp536
1615,Pde2a,Grin2a,Junb,Slc7a10,Bcl2a1b,Chn2,Ndrg4,Tacc2,Serping1,Sh3rf3,Itgal,Glra1,Cacna1e,Map3k1,Card9,Hcls1,Hs6st2,Sox2,Nr2f2,Gad1,Gimap4,Acta1,Phf24,Cacna1h,Drp2,Rasgrf2,Hoxd4,Atp8b2,Nrip2,Camk2a
1616,Hs3st1,Ifi30,Kctd6,Tenm2,Stat4,Meis2,Ckm,Pld4,Ccdc74a,Ahnak2,Mpzl1,Inha,Adarb2,Zic2,Hspa2,Xkr6,Grin2a,Cldn11,Ica1,Kcnj3,Tcea2,Ptp4a3,Itgb2,Shisa7,Agbl4,Slc32a1,Caly,Cck,Cavin1,Cdk18
1617,Als2cl,Slc2a1,Slc4a10,Khdrbs2,Mgl2,Myl9,Syn1,Srgn,Celf5,Hoxd3,Rnf112,Sh3rf3,Prune2,Lyz2,Rell2,Astn2,Ecel1,Cacnb3,Ralgps2,Ltbp3,Samd5,Ahnak2,Cd52,Actl6b,Anxa6,Nkain1,Slco1a4,Tcea2,Itgb4,Xkr6
1618,Irgm1,Cfh,Cpne6,Adgrb2,Itih2,Gimap6,Fxyd5,Lck,Plppr3,Sh3bp2,Xkr6,Slc6a5,L1cam,Tcea2,Tnfrsf13c,Carmil2,Cpne6,Col11a2,Pecam1,Ier5,Cacna1h,Zfp36,Gprasp2,Opalin,Cntnap5a,Adgrl2,A2m,Hspa12b,Rabl2,Unc5a
1619,Abca7,Itgb2,Cep68,Shank2,Csf2rb,Hif3a,Themis2,Astn2,Sez6,Khdrbs2,Sod3,H2-Q7,Kctd16,Grb10,Il4i1,Endog,Cep68,Serping1,L3mbtl1,Mest,Elavl4,Syt1,Cd19,Rgs4,Mafa,Kcnj3,Mpzl1,Adgrl2,Mcam,Cacna1e
1620,Hspb8,Atp1a1,Rgs5,Caly,Sbspon,Ncf4,Serpinf1,Ncf4,Rhbdl1,Zfp536,Tnnt3,Map3k1,Cdkl1,Slc32a1,Wdfy4,Carns1,Unc119,Rgs5,Calb2,Prune2,Syt5,Tprn,Tpm2,Cabp7,Slco1a4,Car4,Id1,Adamts20,Zfp536,Otud7a
1621,Slco1a4,Ap3b2,Plppr3,Grm4,Cfap126,Stat6,Plch2,Fyb,Osbpl6,Il34,Rtn1,Frmd4a,Ptk2b,Tbc1d10c,Tm4sf1,Cacnb1,Sall3,Swap70,Myoc,Grm4,Sema4g,Mafa,Repin1,Adamts4,Tnr,Ccdc74a,Ccdc30,Atp13a2,Irf8,Sox17
1622,Mtcl1,Cables1,Zfp536,Mtcl1,Ifi209,Rarres2,Ermn,Ikzf1,Sgms1,Cfh,Gjb1,Plxnb3,Elavl4,Ltbp3,Erbb3,Kcnab1,Sez6,Adap2,Plxnb3,Slc24a4,Elavl2,Clmn,Pdlim4,Fry,Slco1c1,Mest,Adam23,Actl6b,Il21r,Hs6st2
1623,Actl6b,Map3k1,Rabl2,Sez6l,Piezo1,Nos1ap,Myof,Tmem130,Prelp,Prr16,Frmd4a,Tmem132a,Plcxd3,Cfap100,Itgb2,Sez6l,Crtac1,Scrt1,Pclo,Rgs4,Ier5,Pdcd4,Ift74,Smtn,Dpysl4,Rpgr,Cacna1i,Egfl7,Ptk2b,Gpnmb
1624,Rasgrp3,Endog,Col27a1,Col11a2,Tuba1c,Myo7a,Rab37,Cxcl16,Rapgef3,Ucp2,Lama5,C1qtnf4,St8sia5,Them6,Sell,Rab36,Aldh1l2,Unc119,Lama5,Dnal1,Ltb,Fam43a,Fam214a,Plch2,Grm4,Tnni1,Spp1,Cdk18,Syk,Cyth4
1625,Acly,Ttll3,Ccdc30,Rgs5,Plin4,Stk10,Enpp6,Plin4,Fyn,Kcnd2,Col9a2,Ltbp4,Tnnc2,Ptk2b,Spi1,Junb,Pde2a,Zic2,Tmem181a,Prr16,Pnma3,Mal,Tbc1d10c,Fam43a,Dnal1,Syt1,Nfkbia,Scrt2,Ptprc,Crtac1
1626,Sh3bp2,Ncf1,Sat1,Adamts4,Myb,Trbv16,Ttll1,Rnf122,Plekha7,Bcl2,Cyth4,Sirt6,Col11a1,Slc44a1,Acta2,Sema7a,Tpm2,Ptprc,Tspoap1,Ecel1,Camsap3,Mest,Cacnb3,Zfp398,Camsap3,Rims2,Asap3,Plch2,Cebpd,Mical2
1627,Hs6st2,Pdlim4,Gria2,Gpld1,Cxcl12,Nkx2-2,Grap,Kcnd2,Sod3,Hoxd4,Cxcl16,Tprn,Zfp536,Khdrbs2,Aldh1l2,Cd37,Fry,Cacna1h,Grk6,Rapgef3,Ebf4,Sgms1,Tap1,Ptprb,Nrn1,Tnr,Sh2b3,Mfap3l,Foxp1,Kcnh2
1628,Ltbp4,Them6,Sema4f,Itgb4,Crb2,Acta1,Tac1,Sell,Pvalb,Opalin,Cacna1i,Itih3,Ptch1,Kcnj3,Cldn19,Slco1a4,Bst2,Sned1,Carmil3,Meis2,Prkd2,Elavl2,Tmem123,Nyap2,Dlk1,Sez6,Calb2,Slco1a4,Zfp398,Rasgrf2
1629,Hsf4,Col27a1,Tcea2,Dkk3,Vwf,Slc32a1,Scn4b,Lsp1,Mgp,Tmem63a,Slc7a10,Sema3b,Abca7,Tmem88b,Trim14,Rasal3,Ucp2,Esam,Atp2b4,Zfp536,Tenm2,Sall3,Foxp1,Otud7a,Kcnj3,Csf3r,Ap3b2,Plxnb3,Irgm1,Sh3bp2
1630,Unc5a,Ebf1,Sned1,Hoxd3,Cnr2,Usp18,Itgb2,Itgb2,Cacna1i,Hspg2,Ptprb,Ttll3,Atp2a1,Rgs4,Clstn3,Tprn,Adgrb2,Cald1,Ogn,Sall3,Trbc2,Nrgn,Zfp36,Lfng,Cacnb1,Plppr3,Nwd1,Hs6st2,Gpnmb,Egfl7
1631,Ptpn6,Slc4a10,Sema3b,Celf3,Tbx1,Lgals3,Rab3b,Icam1,Col16a1,Prima1,Prkd2,Mical2,Plekhd1,Gria3,Srpk3,Sirt6,Rasgrf2,Apobec3,Ikzf3,Clmn,Serpinh1,H2-Ob,Mfge8,Plekhh1,Gad1,Scrt2,Trac,Otud7a,Cyth4,Fhl1
1632,Cstb,Hs6st2,Rasal1,Cfap100,Cd55,Ikzf1,Slamf6,Bst2,Col27a1,Lamp5,Tmem25,H2-Ob,Slc4a10,Flna,Mfge8,Akna,Cfap100,Spp1,Nkain1,Zfp398,Ptprc,Crtac1,H2-M3,Apcdd1,Olig2,Hs6st2,Tap2,Ptprb,Apcdd1,Hoxd4
1633,Dock2,Zfp36,Ppfia4,Atp8a2,Zap70,Ttll1,Tmem25,H2-Q7,Pclo,Dock2,Nfkb2,Trac,Prph,Inpp5j,Fam214a,A2m,Kcnj3,Bst2,Cxcl16,Adgrb2,Cldn19,Rab3b,Rgs11,Dnal1,Ccdc39,Hcn1,Nlrc5,Syt1,Drp2,Sorbs3
1634,Cebpa,Hsf4,Pdlim4,Xkr6,Zbp1,Carmil2,Itpr3,Peg3,Unc119,Ighd,Ccdc88b,Txnip,Atp8a2,Col16a1,Icam1,Pdcd4,Vars,Smtn,Prune2,Mafa,Kcnd3,Cntnap5a,Asap3,Ripor2,Scrt2,Adgrb2,Rgs5,Fcho1,Flna,Prkar1b
1635,Cyth4,Samhd1,Aldh1l2,Slc24a4,Sigirr,Tnr,Psd,Bcan,Foxp1,Mical2,Coq8b,Flna,Cdh18,Rasgrf2,Pik3ap1,Stat1,Myt1,Kcnh2,Zc3h12a,Mtus2,Prr16,Smtn,Ciita,Egfl7,Fry,Rab3b,Igsf11,Khdrbs2,Col16a1,Astn2
1636,Otud7a,Gpnmb,Unc119,Endog,Tnni1,Aldh1l2,Tnnc2,Zc3h12a,Slc6a5,Dtnb,Spock2,Tmem145,Cd19,Sez6,Cnn2,Arhgap30,Ngef,Celf3,Stk17b,Gpld1,Pax5,Prr16,Zfp398,Ece2,Slc17a6,Dpysl4,Rab36,Abcb1a,Glra1,Mtcl1
1637,Meis2,Slco1a4,Rasal3,Swap70,Tnf,Egr1,Neurl3,Mafa,Map3k1,Slain1,Olfm1,Ptp4a3,Fyn,Cacna1e,Atp2b2,Inpp5j,Hoxd3,Sh3bp2,Mpzl1,Mpzl1,Adgrl2,Abca7,Myo1c,Snca,L1cam,Nyap2,Igfbp2,Tmem191c,Ece2,Tac2
1638,Astn2,Sod3,Abca7,Serpinh1,Ttn,Foxc1,Col6a2,Ppfia4,Asap3,Unc5a,Car11,Apobec3,Apoc1,Ica1,Slc32a1,Crtac1,Flt1,Cd52,Daxx,Ttll3,Pip5kl1,Vwc2,Lmtk3,Tril,Sema7a,Itgam,Cd37,Nkain1,Zic2,Adam23
1639,Ighd,Stat1,Ptp4a3,Them6,Ccdc114,Card9,Cfap69,Ddit4l,Rgs4,Sipa1,Col5a1,Irgm1,Sv2b,Ift74,Hck,Drp2,Slco1a4,Drp2,Mical2,Hpcal4,Grm5,Sh3rf3,Akna,Prodh,Elavl4,Meis2,Tprn,Hcn1,Aebp1,Prune2
1640,Lyz2,Zfp512b,Prodh,Rasgrf2,Grap2,Art3,Rasgrp1,Neurl3,Rbpms,Lfng,Lfng,Cebpa,Cntnap5a,Grin2a,Isyna1,Hdac7,Astn2,Ift74,Plch2,Man1a,Slc16a11,Grm4,Nkx6-2,Tpm2,Mtus2,Ecel1,Syt4,Hpcal4,Gpr17,Sez6l
1641,Sh3rf3,Xkr6,Car10,Cacnb3,Iqgap2,Tgfb1,Rhbdl1,Shroom3,H2-Q7,Grk6,Tril,Grk6,Mfap3l,Sema4d,Wtip,Snca,Gria3,Cabp7,Map4k1,Elavl4,Vtn,L1cam,Coq8b,Fam214a,Tenm2,Hoxd3,Gpld1,Rab3b,Hoxd4,Ttll3
1642,Trac,Swap70,Atp8b2,Vars,Uts2,H2-Oa,Atp2a1,Klf2,Map3k9,Sema4f,Enpp6,Zic2,Ccdc88b,Il21r,Frmd4a,Ltbp4,Sh3rf3,Slc6a5,Foxj1,Dpysl4,Gad1,Cacna1h,Nid1,Sema4f,Cbln1,Prune2,Arfgef3,Dpysl4,Samhd1,Hspa12a
1643,Erich3,Adam23,Ncf1,Meis2,Cd5,Rac2,Scn1a,Repin1,Ccdc30,Syt4,Dock6,Carns1,Cd72,Hs6st2,Pax5,Kcna1,Hdac7,Dusp15,Unc13a,Drp2,Entpd3,Slain1,Mast1,Grk6,Slc24a4,Slco1c1,Mical2,Grin2a,Sorbs3,Mpzl1
1644,Tle2,Sned1,Map3k9,Hs3st1,Cnksr3,Sp100,Ctsh,Wnk2,Sept1,Tacc2,Apoc1,Foxp1,Cacna1g,Abca7,Sod3,Ebf4,Gjb1,Il21r,Siglecg,Ripor2,Fam171a2,Scrt2,Trbc2,Hpcal4,Otud7a,Stac2,Celsr3,Ecel1,Caly,Tnr
1645,Ica1,Tbc1d10c,Nos1ap,Camkv,Dusp2,Apbb1ip,Hvcn1,Shank2,Penk,Cacna1e,Cacnb1,Igsf11,Tyrobp,Ly6a,Plin4,Rasgrf2,Nrip2,Prodh,Ezr,Pdcd4,Cfap69,Vars,Cd72,Cavin1,Vegfa,Gpr37,Pclo,Hsf4,Txnip,Them6
1646,Irf8,Cacna1e,Pitpnm1,Slc7a5,Glis3,Ogn,Arhgap19,Stat6,Arhgdib,Pclo,Dnm1,Ryr2,Cacnb3,Samhd1,Myof,Slc24a4,Tnr,Add2,Slc6a5,Col11a2,Pde2a,Cavin1,Traf3ip3,Tacc2,L3mbtl1,Hif3a,Arhgap30,Fxyd6,Slco1a4,Kcnd2
1647,Osbpl6,Id1,Pnck,Gria3,Fcrla,Ccdc88b,Abcc8,Zfp536,Hspb8,Otud7a,Hoxd4,Pcp4,Khdrbs2,Tacc2,Disp2,Adamts20,Npr2,Kcnab1,Cd52,Slain1,Cdh8,Nwd1,Adam23,Ngef,Cck,Foxj1,Cxcl12,Shisa7,A2m,Lfng
1648,Itgam,Ets1,Pik3r3,Ahnak,Gimap9,Cables1,Tyrobp,Fxyd5,Rasal1,Esam,Gimap8,Tap2,Slc17a6,Vegfa,Itga1,Foxj1,Kcnd2,Lamp5,Sema4c,Sema4f,Lmx1b,Trac,Col16a1,Hspa12b,Shisa7,Cacnb1,Phf24,Tnni1,Ttll3,Rhbdl1
1649,Them6,Rasgrf2,Gadd45g,Cadm1,Rnf122,Cxcl16,Plekhh1,Mtcl1,Samhd1,Ngef,Rims1,Kcnk9,Nkain1,Ltbp4,Eln,H2-Ab1,Slc22a23,Sox9,Pdlim4,Mog,Atp2b4,Plch2,Dkk3,Adgrl2,Grb10,Khdrbs2,Tmem25,Zfp536,Ccdc30,Ica1
1650,Vars,Bcl2,Adamts4,Mast1,Rhbdf2,Arhgef18,Vstm2l,Vegfa,Tpm2,Kcnab3,Pitpnm1,Lrp8,Trac,Ccdc39,Kcnn4,Ucp2,Actl6b,Nnat,Bin2,Syt1,Arhgef18,Pecam1,Gpam,Sec14l5,Rims2,Otud7a,Col4a2,Rabl2,Tap1,Meis2
1651,Rasgrf2,Unc119,Coq8b,Crtac1,Skap1,Pdgfrb,Stk17b,Cnn2,Carmil2,Ece2,Reep2,Cyth4,Pstpip2,Pllp,Lrrk1,Aif1,Snca,Id1,Col9a3,Plch2,Gimap8,Rabl2,Drp2,Col3a1,Adgrl2,Hpcal4,Cit,Fn1,Ptprb,Hs3st1
1652,Slc4a10,Erich3,Mtcl1,Tacc2,Lox,Ikzf3,Ncdn,Cacna1g,Flna,Itgb4,Gpam,Zfp398,Dlk1,Rapgef3,St8sia5,Itih3,Prodh,Samhd1,Ets1,Ebf1,Col11a1,Tmod1,Flna,Pdcd4,Sema4f,Grin2a,Inpp5d,Serinc5,Cacna1i,Col4a2
1653,Slc24a4,H2-M3,H2-Aa,Unc5a,Cxcr4,Tnnt3,Ikzf1,Rac2,Pld4,Kcnab1,Tm4sf1,Vegfa,Rnf122,Cald1,Col15a1,Irf8,Lamp5,Sema3b,Sh3bp2,Khdrbs2,Plch2,Mtcl1,Sema4c,Pllp,Mest,Shisa7,Ptpn6,Sh3bp4,Spp1,Tmem132a
1654,Ctsz,Gadd45g,Tprn,Npr2,Ddn,Slc15a3,Sell,Endog,Chga,Sh2b3,Sgsm1,Opalin,Fcer2a,Sh3rf3,Myh11,Rgs4,Sema4f,Caly,Lyz2,Hcn1,Hcn3,Tfrc,Cdkn1a,Kcnab1,Ltbp4,Hsf4,Syt3,Sez6,Nfkbia,Snca
1655,Ptk2b,Spp1,Adgrl2,Cacnb1,Col9a3,Stmn2,H2-DMb1,Als2cl,Dock2,Grin2a,Cacng7,Lmtk3,Srpk3,Snca,Atp2a3,Atp8a2,Plin4,Carmil3,Dock6,Nos1ap,Grm7,Plppr3,Sned1,Xkr6,Cpne6,Gria3,Sv2c,Astn2,Asap3,Nwd1
1656,Anxa6,Nfkbia,Cdkn1a,Ccdc30,Srpk3,Itgal,Stat6,Flna,Scrt1,Them6,Rapgef3,Ighd,Tmem125,Sod3,Btg1,Als2cl,Erich3,H2-Q7,Pcp4,Grk6,Them6,Rab36,Tnr,Tac2,Ecel1,Ccdc141,Opalin,Mtcl1,Calb2,Sema4f
1657,H2-K1,Slc32a1,Gdpd2,Tmem88b,Ajuba,Apcdd1,Lgals3,Gimap3,Cd19,Slc22a23,Pecam1,Syngap1,Grm5,Plppr3,Apcdd1,Gpld1,Rasal1,Scn1a,Itm2a,Slc17a6,Cd79a,Kcnj3,Camk2b,Gria3,Tmem88b,Cables1,Grk6,Prune2,Ap3b2,Celf3
1658,Sez6l,Adgrl2,Oasl2,Sema6a,Cebpd,Myh11,Lck,Cdkn1a,Ppfia4,Trac,Cacna1h,Ap3b2,Rab37,Crtac1,Kcnab1,Otud7a,Tprn,Calb2,Cacnb1,Scrt2,Kcnj3,Pde2a,Them6,Unc5a,Cacna1h,Xkr6,Cd82,Slc32a1,Nwd1,Foxj1
1659,Sall3,Zfp398,Actl6b,Erich3,Dgka,Ppfibp1,Sipa1,Gjb1,Slc6a1,Samhd1,Ptprn2,H2-M3,Opcml,Zfp512b,Apoc1,Them6,Kcnab1,Gpld1,Prima1,Plxnb3,Hcn1,Itih3,Tmem25,Pde2a,Adgrb2,Unc5a,Myrf,Tnr,Trac,Rasal1
