,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
1237,Tlr2,Tnfrsf1b,Tac1,Casz1,Cnn1,Chodl,Chodl,Tyrobp,Slc17a6,Cfap65,Fcrl1,Birc3,Il17rb,Tap1,Olfml2a,Serpinf1,Casq1,Sp100,Dpt,Nfkbid,Tagap,Kcnip2,Ebf4,Ccdc114,Tie1,Kcnj14,Kcnj9,Dnaic2,Klf4,Unc5cl
1238,Tpbg,Hs3st1,Atp2a1,Gpr165,Gipr,Cfap126,Fmod,Lrrc9,Abracl,Crip1,Opcml,St8sia5,Rhbdl2,Gimap6,Nme5,Myh11,Irf7,Crispld2,Cmpk2,Slco1c1,Col28a1,Acap1,Serpinf1,Sept1,Colgalt2,Sema3e,Chn2,Grap2,Glycam1,Tmem51
1239,Cfap74,Sema4d,Cck,Col6a2,Pilra,Ak7,Rgs9,Gnai3,Chn2,Rreb1,Col13a1,Ptprn2,Vipr2,Ecrg4,Id4,Rarres2,Tmie,Ret,Prodh,B3galnt1,Fry,Ung,Endog,Stap1,Rgs22,Pdlim4,Mfge8,Vwf,Lef1,Dkk3
1240,Cd300lf,Sell,Pold1,H2-DMb1,Asgr1,Jchain,Lpl,Mustn1,Hvcn1,Mia,Agbl4,Slc17a6,Vip,Ccser1,Ano1,Myoc,Uts2,Adcyap1,Slit3,Cfap54,Col6a3,Slc6a20a,Masp1,Gimap6,Cyp4x1,Ninj2,Col3a1,Lrrc45,Fli1,Il12rb1
1241,Higd1b,Itgb7,Kcnj14,Myh2,Sh2d4a,Iglc1,Fam131c,Ak7,Tie1,Sh3bp4,Foxd1,Shank2,Il1b,Traf1,Top2a,Mppe1,Grin2c,Acta2,Mia,Arid3b,Sod3,Susd2,Fli1,Akna,Iqcd,Slc10a4,Chst3,Wdr66,Slc22a8,Igkc
1242,Armcx5,Hes1,Uts2,Piezo2,Agbl2,Gipr,Ak7,Jchain,Sigirr,Mob3b,Pip5kl1,Elavl2,Lipt1,Sigirr,Eno4,Wdfy4,Ass1,Tesc,Slc18a3,Ccdc141,Arhgap29,Rsad2,Cck,Foxp1,Smim18,Magel2,Lat2,Arc,Cdh8,Acan
1243,Kcnip2,Kcnq4,Bmf,Plekhg2,Ip6k3,Rassf10,Jchain,Tspan32,Mob3b,Gucy1a1,Rpgr,Pip5kl1,Cd69,Wdr54,Hoxd11,Fabp3,Baz1a,Hvcn1,Dusp2,Tfb2m,Ttll1,Arid3b,Pmp2,Acan,Rnf122,Cfap43,Pstpip2,Mybpc1,H2-Oa,Crb2
1244,Sat1,Ckm,Fcho1,Erbb3,Nrk,Skap1,Fam183b,Ccdc74a,Mylpf,Rasgrp1,St8sia5,Hcn3,Itgae,Gpr37,Slc15a3,Erbb3,Cbln2,Akain1,Bank1,Ddn,Mzb1,Sept1,Lef1,Fam169b,Lrrc71,Ggt1,Gabrg2,Flrt1,Cdkl1,Col19a1
1245,Mppe1,Trim66,Apobec3,Pou2af1,Ltf,Bcl2a1b,Aox3,Adarb2,Rhoh,Adarb2,Cacna1e,Slc32a1,Flrt1,Txnip,Ass1,H2-Oa,Nrgn,Camsap3,Limd2,Tie1,Lox,Actr2,Gucy1a1,Slc5a7,Rbm24,Rgs22,Sorbs3,Fam167a,Cartpt,Slc5a7
1246,Slc16a11,Gimap3,Cd86,Zc3h12a,Syt8,Gbp4,Arhgap36,Rrm2,Arc,Actr2,Hcn1,Zic1,Fibcd1,Rsph10b,Abcc8,Nxph4,Nqo2,Cfap69,Ebf4,Cep112,Repin1,Rasgrp1,Actn2,Col19a1,Fank1,Eno4,Grin2c,Nanos1,Cxcl10,Rhbdf2
1247,Fabp3,Raver2,Ass1,Cytip,Dnah8,Igtp,Zim1,Col13a1,Fam169b,Il4i1,Hoxd3,Adgrl4,Kcng1,Cfap44,Mycbpap,Rbpms,Pdyn,Gbp2,Gper1,Spib,Mfap3l,Pgbd5,Cdh8,Tmprss5,Nmu,Hba-a2,Sox11,Msrb3,Kcnj9,B4galnt1
1248,Bcl11a,Mfap3l,Prkd2,Med7,Spata17,Tcf7l2,Stat4,Gimap1,Nrg1,Cebpd,Fos,Actl6b,Myo18b,Aebp1,Lrrc43,Plin4,Rec8,Ddit4l,Med7,Sertad4,Hoxd11,Bok,Il2rb,Fam222a,B3gnt4,Catip,Sv2b,Etnk2,Crispld2,Pcolce2
1249,Pard6a,Ppp1r18,Kcnd3,Galnt14,Adamts8,B3galnt1,Sv2b,Paqr5,Kcnd2,Lrmp,Blk,Parp14,Adgrf2,Npy,Dnali1,Grb10,Caprin2,Icam1,Kctd6,T2,Stk36,Lama5,Cdkl1,Slc1a5,Sptbn5,Th,Slc16a11,Dynlrb2,Chst3,Iqgap2
1250,Ccser1,Notch3,Tesc,Themis2,Naip5,Ccn1,Stat1,Rnf207,Tnfrsf1b,Pou2af1,Adgrl2,Pnma3,Sptssb,Mecom,Tcim,Amigo2,Arhgap36,Sell,Slc36a2,Fstl4,Pcdh8,Lrrk1,Col5a3,Atp13a4,Acot1,Lrrc71,Slc15a3,Kif6,Acta2,Grid2ip
1251,Pik3ap1,Il27ra,Ppp1r18,Myo7a,Fas,Nr1h3,Magel2,Tgfb1,Cd40,Enpp6,Hoxd11,Isg15,Il27ra,Ncf1,Ttll9,Tnfrsf1b,Ulk4,Herc6,Col9a2,Tmem63a,Trh,Oas1a,Adap2,Mfap3l,T2,Nmbr,Pgbd5,Synpo,Lat2,Masp1
1252,Isg15,Coq8b,Ushbp1,Susd2,Ttc29,Kif6,Cald1,Abracl,Hspa12b,Acss3,Tinagl1,Tmem123,Mcmdc2,Pld5,Fcrla,Sat1,Pax5,Ncmap,Plekhd1,Fabp3,Jchain,Paqr5,Adcyap1,Rnf122,Nqo2,Nme5,Pnma3,Slc7a1,Pstpip2,Entpd3
1253,Gimap1,Lgals3,Hspb6,Pold1,Chtf18,Fas,Hoxd11,Pstpip2,Wdr78,Adgrf5,Bank1,Ralgps2,B3gnt6,Pou2af1,Cnr2,Mycl,Actr2,Fam214a,Fstl4,Myh2,Fcrla,Col6a1,Grap,Foxd1,Pdyn,Calr4,Abcc8,Rsph4a,Gabrg2,Col24a1
1254,Hrh3,Anxa11,Trbc1,Tnnc1,Mmp25,Nxph4,Dock6,Ifih1,Irgm1,Ccn2,Odf3b,Btg1,Siglecf,Zfp36,Cemip,Itk,Lrrc51,Ltbp4,Hoxd11,Tmem108,Fam149a,Cfap65,Slc7a5,Bcl2l12,Togaram2,Arhgef33,Pik3ap1,Cacng5,Grin2c,Ifih1
1255,Dlk2,Nr4a1,Dlk2,T2,Cd300lg,Anxa11,Adap2,Dynlrb2,Hoxd3,Anxa11,Slfn5,Ttll1,Sstr2,Sec14l5,Hba-a2,Tspan32,Kit,Isg15,Cemip2,Rsad2,Unc13d,Iglc3,Mfsd5,Iqgap2,Emid1,Mylpf,Glis3,Gars,Ikzf3,H2-M3
1256,Ano1,Slfn2,Cd52,Lmnb1,Urah,Gpld1,Eml5,Robo4,Gucy1a1,Crabp1,Ptpn7,Glycam1,Has2,Eln,Ly6a,Hoxd11,Chat,Gimap3,Lox,Tmem114,Spx,Cemip2,Cxcl10,Masp1,Dnali1,Ulk4,Herc6,Ttn,Sv2b,Zfp488
1257,Adgrl4,Vtn,Foxj1,Sell,Cdkn2a,Gja4,Lox,Ccl5,Slfn2,Cd40,Socs1,Plppr3,Cd86,Cep68,Thbs1,Cfap44,Pkd2l1,Mag,Myh2,Ltbp4,Cacng5,Irf7,Socs1,Ptprcap,Dlec1,Efcab12,Irf7,Fcgr4,Slc16a11,Rnf207
1258,Cxcl16,Kcnip2,Shc4,Ctsh,Trim55,Odf3b,Cartpt,Cd5,Shroom3,Prkd2,Ms4a1,Rapgef5,Myh1,Tagln,Slc18a3,Apoc1,Blk,Dnaaf3,Sptbn5,Traf3ip3,Galnt14,Hdac7,Kcnj9,Pmp2,Shc4,Trpc4,Themis2,Lrguk,Tnnt3,Kank3
1259,Hck,March11,Fcrl1,Adgrf5,Slpi,Rsad2,Acvrl1,Spn,Tnni3,Mecom,Thbs2,Atp13a5,Spi1,Sp100,Six5,Apbb1ip,Pou4f1,Cntnap5a,Dkk3,Kcnj14,Inhba,Cd22,Ucp2,Col24a1,Map3k7cl,Spata33,Myo7a,Myh1,Tnfrsf12a,Cfap46
1260,Itk,Fos,Caprin2,Micall2,AI182371,Cemip2,Ets1,Togaram2,Ltbp4,Btg1,Syt7,Themis2,Klrb1b,Slfn2,Cxcr4,Prkcd,Inava,Gad2,Zbp1,Tnni2,Hcrtr1,Lpl,Cfap46,Actn2,Cavin1,Arc,Rnf122,Ifi209,Slc15a3,Rsad2
1261,Sgk1,Rec8,Cxcl9,Hes1,Cd8a,Cd86,Lrrc71,Calml4,Trim67,Nkx2-2,Ndrg4,Ccn2,Il12a,Ckm,Mapk12,Acta1,Calca,Ttll8,Oasl2,Col27a1,Hcls1,Lfng,Opcml,Kcnip2,Lrrc51,Prrt4,Gad2,Foxf1,Abcc8,Tnni2
1262,Lmnb1,Ecrg4,Btg2,Ccdc74a,Pbk,Zap70,Lrrc23,Chn2,Cdkl1,Ckm,Kcnd2,Nxph4,Hrk,Lsp1,Tuba1c,Slc15a3,Zfp623,Pecam1,Cytip,Cbfa2t3,Kcnq4,Fam241b,Six5,Sod3,Cyp3a13,Cfap54,Arhgap29,Otp,Pnma3,Cracr2a
1263,Pld5,Hic1,L1cam,Mlip,Mrgprh,Ttn,Grid2ip,Ltbp3,Odf3b,Mafa,Cytip,Lck,Col28a1,Ccl19,Arhgap36,Icosl,Unc5d,Samd5,Islr,Fcmr,Foxd1,Rhoh,Plppr3,Gimap4,Zswim1,Hspa2,Sema6a,Acot1,Glis3,Timp1
1264,Pou2af1,Pax5,Kcnq4,Mapk15,Fgfr4,Ccr6,Uts2,Rsph4a,Grid2ip,Tmem125,Klf4,Stat6,Cox6a2,Nxph4,Pdgfra,Pik3ap1,Slc30a10,Eln,Ddn,Stap1,Thbs1,Pou2af1,Il9r,Mob3b,Ptprb,Cyp3a13,Cnn2,Drc3,Pik3ap1,Bcl11a
1265,Crabp1,Trim14,Acvrl1,Hspb6,Psrc1,Myh1,Lrrc36,Grik1,Ift74,Ccnd3,Lrg1,Ccm2l,Cd3d,Actr2,Myo7a,Ebf2,Ralgps2,Rarres2,Pirb,Syk,Hck,Mfsd5,Lrg1,Cemip2,Unc5cl,Cep112,Eln,Atp2b4,Thada,Bok
